Latitude,Longitude, Node_Name
46.5451,-87.427,TRAIL-2
46.536,-87.4285,TRAIL-3
46.5307,-87.4323,TRAIL-4
46.5229,-87.4373,TRAIL-5
46.5166,-87.4444,TRAIL-10
46.5137,-87.4223,TRAIL-9
46.5078,-87.4415,TRAIL-11
46.5216,-87.4198,TRAIL-7
46.5189,-87.4231,TRAIL-6
46.5181,-87.419,TRAIL-8
46.5102,-87.4083,TRAIL-17
46.513,-87.4063,TRAIL-12
46.5091,-87.3953,TRAIL-18
46.5176,-87.4007,TRAIL-16
46.5191,-87.3956,TRAIL-15
46.5132,-87.3872,TRAIL-13
46.5711,-87.4357,TRAIL-B
46.568,-87.4363,TRAIL-C
46.566,-87.4399,TRAIL-D
46.5652,-87.4437,TRAIL-E
46.5654,-87.4454,TRAIL-F
46.5669,-87.4456,TRAIL-M
46.5685,-87.4513,TRAIL-L
46.5669,-87.4625,TRAIL-G
46.5774,-87.4712,TRAIL-H
46.5782,-87.4714,TRAIL-I
46.5775,-87.4626,TRAIL-J
46.5773,-87.4506,TRAIL-K
